time	track	channel	bar	pitch	volume	instrument
512	2	9	1202590846	42	80	1202590846
512	2	9	1202590846	35	80	1202590846
512	2	9	1202590846	38	0	1202590846
512	3	4	1202590846	60	72	1202590846
512	4	6	1202590846	41	0	1202590846
512	4	6	1202590846	32	72	1202590846
520	1	2	-858993456	56	72	-858993456
520	1	2	-858993456	60	0	-858993456
520	2	9	-858993456	42	80	-858993456
520	2	9	-858993456	35	0	-858993456
520	2	9	-858993456	42	0	-858993456
528	1	2	1374389538	56	0	1374389538
528	1	2	1374389538	63	80	1374389538
528	2	9	1374389538	38	80	1374389538
528	2	9	1374389538	42	0	1374389538
528	2	9	1374389538	42	80	1374389538
536	1	2	-687194764	63	0	-687194764
536	1	2	-687194764	56	80	-687194764
536	2	9	-687194764	42	80	-687194764
536	2	9	-687194764	42	0	-687194764
536	2	9	-687194764	38	0	-687194764
536	2	9	-687194764	35	80	-687194764
540	2	9	-1717986915	35	80	-1717986915
540	2	9	-1717986915	35	0	-1717986915
540	2	9	-1717986915	42	0	-1717986915
544	1	2	1546188230	56	0	1546188230
544	1	2	1546188230	58	80	1546188230
544	2	9	1546188230	35	0	1546188230
544	2	9	1546188230	42	80	1546188230
544	3	4	1546188230	61	72	1546188230
544	3	4	1546188230	60	0	1546188230
544	4	6	1546188230	39	72	1546188230
544	4	6	1546188230	32	0	1546188230
548	2	9	515396079	38	80	515396079
548	2	9	515396079	42	0	515396079
548	3	4	515396079	60	72	515396079
548	3	4	515396079	61	0	515396079
552	1	2	-515396072	51	80	-515396072
552	1	2	-515396072	58	0	-515396072
552	2	9	-515396072	35	80	-515396072
552	2	9	-515396072	42	80	-515396072
552	2	9	-515396072	38	0	-515396072
552	3	4	-515396072	60	0	-515396072
560	1	2	1717986922	51	0	1717986922
560	1	2	1717986922	63	80	1717986922
560	2	9	1717986922	35	0	1717986922
560	2	9	1717986922	42	80	1717986922
560	2	9	1717986922	38	80	1717986922
560	2	9	1717986922	42	0	1717986922
560	3	4	1717986922	58	72	1717986922
568	1	2	-343597380	61	80	-343597380
568	1	2	-343597380	63	0	-343597380
568	2	9	-343597380	42	80	-343597380
568	2	9	-343597380	38	0	-343597380
568	2	9	-343597380	42	0	-343597380
568	3	4	-343597380	56	72	-343597380
568	3	4	-343597380	58	0	-343597380
572	2	9	-1374389531	42	0	-1374389531
572	2	9	-1374389531	38	80	-1374389531
572	3	4	-1374389531	56	72	-1374389531
572	3	4	-1374389531	56	0	-1374389531
576	1	2	1889785614	60	80	1889785614
576	1	2	1889785614	61	0	1889785614
576	2	9	1889785614	35	80	1889785614
576	2	9	1889785614	42	80	1889785614
576	2	9	1889785614	38	0	1889785614
576	3	4	1889785614	56	0	1889785614
576	4	6	1889785614	39	0	1889785614
576	4	6	1889785614	41	72	1889785614
584	1	2	-171798688	56	80	-171798688
584	1	2	-171798688	60	0	-171798688
584	2	9	-171798688	35	0	-171798688
584	2	9	-171798688	42	80	-171798688
584	2	9	-171798688	35	80	-171798688
584	2	9	-171798688	42	0	-171798688
592	1	2	2061584306	60	80	2061584306
592	1	2	2061584306	56	0	2061584306
592	2	9	2061584306	42	0	2061584306
592	2	9	2061584306	35	0	2061584306
592	2	9	2061584306	42	80	2061584306
592	2	9	2061584306	38	80	2061584306
600	1	2	4	60	0	4
600	1	2	4	56	80	4
600	2	9	4	42	80	4
600	2	9	4	38	0	4
600	2	9	4	42	0	4
604	2	9	-1030792147	38	80	-1030792147
604	2	9	-1030792147	42	0	-1030792147
608	1	2	-2061584298	56	0	-2061584298
608	1	2	-2061584298	60	80	-2061584298
608	2	9	-2061584298	42	80	-2061584298
608	2	9	-2061584298	38	0	-2061584298
612	2	9	1202590847	38	80	1202590847
612	2	9	1202590847	42	0	1202590847
616	1	2	171798696	60	0	171798696
616	1	2	171798696	56	80	171798696
616	2	9	171798696	35	80	171798696
616	2	9	171798696	42	80	171798696
616	2	9	171798696	38	0	171798696
616	3	4	171798696	51	72	171798696
624	1	2	-1889785606	58	80	-1889785606
624	1	2	-1889785606	56	0	-1889785606
624	2	9	-1889785606	42	0	-1889785606
624	2	9	-1889785606	35	0	-1889785606
624	2	9	-1889785606	42	80	-1889785606
624	2	9	-1889785606	38	80	-1889785606
624	3	4	-1889785606	51	0	-1889785606
624	3	4	-1889785606	56	72	-1889785606
628	3	4	1374389539	58	72	1374389539
628	3	4	1374389539	56	0	1374389539
632	1	2	343597388	55	80	343597388
632	1	2	343597388	58	0	343597388
632	2	9	343597388	38	0	343597388
632	2	9	343597388	38	80	343597388
632	2	9	343597388	42	80	343597388
632	2	9	343597388	42	0	343597388
632	3	4	343597388	58	0	343597388
636	2	9	-687194763	42	0	-687194763
