time	track	channel	pitch	volume	instrument
948	2	2	59	120	0
954	1	1	81	120	0
954	2	2	47	120	0
957	1	1	83	120	0
960	1	1	84	120	0
960	2	2	41	120	0
963	1	1	83	120	0
966	1	1	79	120	0
966	2	2	48	120	0
969	1	1	76	120	0
972	1	1	74	120	0
972	2	2	57	120	0
978	1	1	72	120	0
978	2	2	48	120	0
981	1	1	76	120	0
984	1	1	71	120	0
984	2	2	43	120	0
987	1	1	69	120	0
990	1	1	72	120	0
990	2	2	50	120	0
993	1	1	76	120	0
996	1	1	71	120	0
996	2	2	59	120	0
999	1	1	67	120	0
1002	1	1	71	120	0
1002	2	2	50	120	0
1005	1	1	72	120	0
1008	1	1	71	120	0
1008	2	2	45	120	0
1011	1	1	69	120	0
1014	1	1	72	120	0
1014	2	2	52	120	0
1017	1	1	69	120	0
1020	1	1	74	120	0
1020	2	2	60	120	0
1023	1	1	72	120	0
1026	1	1	69	120	0
1026	2	2	52	120	0
1029	1	1	67	120	0
1032	1	1	64	120	0
1032	2	2	45	120	0
1035	1	1	67	120	0
1038	1	1	69	120	0
1038	2	2	52	120	0
1041	1	1	64	120	0
1044	1	1	60	120	0
1044	2	2	43	120	0
1047	1	1	62	120	0
1050	1	1	64	120	0
1050	2	2	50	120	0
1053	1	1	59	120	0
1056	1	1	57	120	0
1056	2	2	41	120	0
1059	1	1	60	120	0
1062	1	1	67	120	0
1062	2	2	48	120	0
1065	1	1	60	120	0
1068	1	1	69	120	0
1068	1	1	60	120	0
1068	2	2	57	120	0
1074	1	1	67	120	0
1074	1	1	59	120	0
1074	2	2	48	120	0
1077	1	1	64	120	0
1077	1	1	57	120	0
1080	1	1	57	120	0
1080	2	2	43	120	0
1083	1	1	60	120	0
1086	1	1	67	120	0
1086	2	2	50	120	0
1089	1	1	60	120	0
1092	1	1	64	120	0
1092	1	1	71	120	0
1092	2	2	59	120	0
1098	1	1	69	120	0
1098	1	1	62	120	0
1098	2	2	50	120	0
1104	1	1	64	120	0
1104	1	1	68	120	0
1104	1	1	56	120	0
1104	2	2	40	120	0
1110	1	1	64	120	0
1110	2	2	47	120	0
1116	1	1	68	120	0
1116	1	1	56	120	0
1116	1	1	64	120	0
1116	2	2	56	120	0
1122	1	1	64	120	0
1122	2	2	47	120	0
1128	1	1	62	120	0
1128	1	1	57	120	0
1128	1	1	69	120	0
1128	2	2	56	120	0
1134	1	1	64	120	0
1134	2	2	47	120	0
1140	1	1	61	120	0
1140	1	1	69	120	0
1140	2	2	57	120	0
1143	1	1	64	120	0
1146	1	1	69	120	0
1146	2	2	48	120	0
1149	1	1	72	120	0
1152	1	1	69	120	0
1152	1	1	57	120	0
1152	2	2	48	120	0
1152	2	2	41	120	0
1152	2	2	53	120	0
1155	1	1	71	120	0
1155	1	1	59	120	0
1158	1	1	72	120	0
1158	1	1	60	120	0
1158	2	2	48	120	0
1158	2	2	41	120	0
1158	2	2	53	120	0
1161	1	1	76	120	0
1161	1	1	64	120	0
1164	1	1	57	120	0
1167	1	1	59	120	0
1170	1	1	60	120	0
1170	2	2	41	120	0
1173	1	1	64	120	0
1176	1	1	69	120	0
1176	1	1	57	120	0
1176	2	2	50	120	0
1176	2	2	43	120	0
1176	2	2	55	120	0
1179	1	1	71	120	0
1179	1	1	59	120	0
1182	1	1	60	120	0
1182	1	1	72	120	0
1182	2	2	55	120	0
1182	2	2	50	120	0
1182	2	2	43	120	0
1185	1	1	62	120	0
1185	1	1	81	120	0
1188	1	1	76	120	0
1188	1	1	57	120	0
1188	1	1	64	120	0
1191	1	1	59	120	0
1194	1	1	60	120	0
1194	2	2	43	120	0
1197	1	1	69	120	0
1200	1	1	72	120	0
1200	1	1	57	120	0
1200	1	1	64	120	0
1200	2	2	45	120	0
1200	2	2	52	120	0
1200	2	2	57	120	0
1203	1	1	76	120	0
1203	1	1	59	120	0
1206	1	1	81	120	0
1206	1	1	60	120	0
1206	2	2	57	120	0
1206	2	2	52	120	0
1206	2	2	45	120	0
1209	1	1	64	120	0
1209	1	1	83	120	0
1212	1	1	60	120	0
1215	1	1	64	120	0
1218	1	1	69	120	0
1218	2	2	45	120	0
1221	1	1	71	120	0
1224	1	1	74	120	0
1224	1	1	57	120	0
1224	2	2	52	120	0
1224	2	2	45	120	0
1224	2	2	57	120	0
1227	1	1	59	120	0
1227	1	1	76	120	0
1230	1	1	60	120	0
1230	1	1	83	120	0
1230	2	2	57	120	0
1230	2	2	45	120	0
1230	2	2	52	120	0
1233	1	1	62	120	0
1233	1	1	84	120	0
1236	1	1	62	120	0
1236	1	1	64	120	0
1239	1	1	64	120	0
1242	1	1	71	120	0
1242	2	2	43	120	0
1242	2	2	50	120	0
1245	1	1	72	120	0
1248	1	1	69	120	0
1248	1	1	77	120	0
1248	2	2	48	120	0
1248	2	2	41	120	0
1248	2	2	53	120	0
1251	1	1	71	120	0
1251	1	1	81	120	0
1254	1	1	83	120	0
1254	1	1	72	120	0
1254	2	2	41	120	0
1254	2	2	48	120	0
1254	2	2	53	120	0
1257	1	1	74	120	0
1257	1	1	84	120	0
1260	1	1	65	120	0
1260	1	1	76	120	0
1263	1	1	69	120	0
1266	1	1	71	120	0
1266	2	2	41	120	0
1269	1	1	72	120	0
1272	1	1	69	120	0
1272	1	1	76	120	0
1272	2	2	55	120	0
1272	2	2	50	120	0
1272	2	2	43	120	0
1275	1	1	71	120	0
1275	1	1	81	120	0
1278	1	1	83	120	0
1278	1	1	72	120	0
1278	2	2	43	120	0
1278	2	2	55	120	0
1278	2	2	50	120	0
1281	1	1	74	120	0
1281	1	1	86	120	0
1284	1	1	64	120	0
1284	1	1	76	120	0
1287	1	1	69	120	0
1287	1	1	81	120	0
1290	1	1	71	120	0
1290	1	1	83	120	0
1290	2	2	43	120	0
1293	1	1	74	120	0
1293	1	1	86	120	0
1296	1	1	79	120	0
1296	1	1	69	120	0
1296	2	2	47	120	0
1296	2	2	52	120	0
1296	2	2	40	120	0
1299	1	1	81	120	0
1299	1	1	71	120	0
1302	1	1	83	120	0
1302	1	1	72	120	0
1302	2	2	47	120	0
1302	2	2	40	120	0
1302	2	2	52	120	0
1305	1	1	76	120	0
1305	1	1	86	120	0
1308	1	1	67	120	0
1308	1	1	79	120	0
1311	1	1	81	120	0
1311	1	1	69	120	0
1314	1	1	71	120	0
1314	1	1	83	120	0
1314	2	2	40	120	0
1317	1	1	74	120	0
1317	1	1	86	120	0
1320	1	1	69	120	0
1320	1	1	81	120	0
1320	2	2	52	120	0
1320	2	2	56	120	0
1320	2	2	44	120	0
1323	1	1	83	120	0
1323	1	1	71	120	0
1326	1	1	85	120	0
1326	1	1	73	120	0
1326	2	2	56	120	0
1326	2	2	52	120	0
1329	1	1	74	120	0
1329	1	1	86	120	0
1332	1	1	88	120	0
1332	1	1	69	120	0
1332	1	1	76	120	0
1332	2	2	44	120	0
1335	1	1	71	120	0
1338	1	1	73	120	0
1338	2	2	43	120	0
1341	1	1	76	120	0
1344	1	1	57	120	0
1344	1	1	69	120	0
1344	2	2	53	120	0
1344	2	2	41	120	0
1344	2	2	48	120	0
1347	1	1	59	120	0
1347	1	1	71	120	0
1350	1	1	60	120	0
1350	1	1	72	120	0
1350	2	2	41	120	0
1350	2	2	48	120	0
1350	2	2	53	120	0
1353	1	1	76	120	0
1353	1	1	64	120	0
1356	1	1	57	120	0
1359	1	1	59	120	0
1362	1	1	60	120	0
1362	2	2	41	120	0
1365	1	1	64	120	0
1368	1	1	69	120	0
1368	1	1	57	120	0
1368	2	2	43	120	0
1368	2	2	50	120	0
1368	2	2	55	120	0
1371	1	1	71	120	0
1371	1	1	59	120	0
1374	1	1	60	120	0
1374	1	1	72	120	0
1374	2	2	55	120	0
1374	2	2	50	120	0
1374	2	2	43	120	0
1377	1	1	81	120	0
1377	1	1	62	120	0
1380	1	1	76	120	0
1380	1	1	57	120	0
1380	1	1	64	120	0
1383	1	1	59	120	0
1386	1	1	60	120	0
1386	2	2	43	120	0
1389	1	1	69	120	0
1392	1	1	72	120	0
1392	1	1	57	120	0
1392	1	1	64	120	0
1392	2	2	57	120	0
1392	2	2	45	120	0
1392	2	2	52	120	0
1395	1	1	59	120	0
1395	1	1	76	120	0
1398	1	1	81	120	0
1398	1	1	60	120	0
1398	2	2	57	120	0
1398	2	2	45	120	0
1398	2	2	52	120	0
1401	1	1	83	120	0
1401	1	1	64	120	0
1404	1	1	60	120	0
1407	1	1	64	120	0
1410	1	1	69	120	0
1410	2	2	45	120	0
1413	1	1	71	120	0
1416	1	1	57	120	0
1416	1	1	74	120	0
1416	2	2	52	120	0
1416	2	2	45	120	0
1416	2	2	57	120	0
1419	1	1	76	120	0
1419	1	1	59	120	0
1422	1	1	60	120	0
1422	1	1	83	120	0
1422	2	2	57	120	0
1422	2	2	45	120	0
1422	2	2	52	120	0
1425	1	1	62	120	0
1425	1	1	84	120	0
1428	1	1	62	120	0
1428	1	1	64	120	0
1431	1	1	64	120	0
1434	1	1	71	120	0
1434	2	2	43	120	0
1434	2	2	50	120	0
1437	1	1	72	120	0
1440	1	1	69	120	0
1440	1	1	77	120	0
1440	2	2	48	120	0
1440	2	2	41	120	0
1440	2	2	53	120	0
1443	1	1	81	120	0
1443	1	1	71	120	0
1446	1	1	83	120	0
1446	1	1	72	120	0
1446	2	2	53	120	0
1446	2	2	48	120	0
1446	2	2	41	120	0
1449	1	1	84	120	0
1449	1	1	74	120	0
1452	1	1	76	120	0
1452	1	1	65	120	0
1455	1	1	69	120	0
1458	1	1	71	120	0
1458	2	2	41	120	0
1461	1	1	72	120	0
1464	1	1	76	120	0
1464	1	1	69	120	0
1464	2	2	50	120	0
1464	2	2	43	120	0
1464	2	2	55	120	0
1467	1	1	71	120	0
1467	1	1	81	120	0
1470	1	1	72	120	0
1470	1	1	83	120	0
1470	2	2	55	120	0
1470	2	2	43	120	0
1470	2	2	50	120	0
1473	1	1	74	120	0
1473	1	1	86	120	0
1476	1	1	64	120	0
1476	1	1	76	120	0
1479	1	1	81	120	0
1479	1	1	69	120	0
1482	1	1	83	120	0
1482	1	1	71	120	0
1482	2	2	43	120	0
1485	1	1	86	120	0
1485	1	1	74	120	0
1488	1	1	79	120	0
1488	1	1	69	120	0
1488	2	2	40	120	0
1488	2	2	52	120	0
1488	2	2	47	120	0
1491	1	1	81	120	0
1491	1	1	71	120	0
1494	1	1	72	120	0
1494	1	1	83	120	0
1494	2	2	52	120	0
1494	2	2	47	120	0
1494	2	2	40	120	0
1497	1	1	86	120	0
1497	1	1	76	120	0
1500	1	1	67	120	0
1500	1	1	79	120	0
1503	1	1	81	120	0
1503	1	1	69	120	0
1506	1	1	83	120	0
1506	1	1	71	120	0
1506	2	2	40	120	0
1509	1	1	74	120	0
1509	1	1	86	120	0
1512	1	1	69	120	0
1512	1	1	81	120	0
1512	2	2	44	120	0
1512	2	2	56	120	0
1512	2	2	52	120	0
1515	1	1	71	120	0
1515	1	1	83	120	0
1518	1	1	85	120	0
1518	1	1	73	120	0
1518	2	2	56	120	0
1518	2	2	52	120	0
1521	1	1	74	120	0
1521	1	1	86	120	0
1524	1	1	88	120	0
1524	1	1	69	120	0
1524	1	1	76	120	0
1524	2	2	44	120	0
1525	1	1	86	120	0
1527	1	1	84	120	0
1527	1	1	71	120	0
1528	1	1	83	120	0
1530	1	1	73	120	0
1530	1	1	81	120	0
1530	2	2	43	120	0
1531	1	1	79	120	0
1533	1	1	76	120	0
1533	1	1	77	120	0
1534	1	1	76	120	0
1536	1	1	93	120	0
1536	2	2	57	120	0
1536	2	2	45	120	0
1536	2	2	48	120	0
1536	2	2	52	120	0
1540	1	1	88	120	0
1542	2	2	57	120	0
1542	2	2	45	120	0
1542	2	2	48	120	0
1542	2	2	52	120	0
1545	1	1	81	120	0
1548	1	1	88	120	0
1552	1	1	83	120	0
1557	1	1	76	120	0
1560	1	1	88	120	0
1564	1	1	83	120	0
1569	1	1	86	120	0
1572	1	1	76	120	0
1572	2	2	55	120	0
1572	2	2	47	120	0
1572	2	2	43	120	0
1572	2	2	50	120	0
1576	1	1	77	120	0
1578	2	2	55	120	0
1578	2	2	50	120	0
1578	2	2	47	120	0
1578	2	2	43	120	0
1581	1	1	79	120	0
1584	1	1	80	120	0
1584	2	2	57	120	0
1584	2	2	52	120	0
1584	2	2	48	120	0
1584	2	2	45	120	0
1588	1	1	81	120	0
1590	2	2	45	120	0
1590	2	2	52	120	0
1590	2	2	48	120	0
1590	2	2	57	120	0
1593	1	1	84	120	0
1596	1	1	71	120	0
1600	1	1	72	120	0
1605	1	1	76	120	0
1608	1	1	72	120	0
1612	1	1	71	120	0
1617	1	1	67	120	0
1620	1	1	72	120	0
1620	2	2	55	120	0
1620	2	2	47	120	0
1620	2	2	43	120	0
1620	2	2	50	120	0
1624	1	1	74	120	0
1626	2	2	43	120	0
1626	2	2	55	120	0
1626	2	2	47	120	0
1626	2	2	50	120	0
1629	1	1	72	120	0
1632	1	1	80	120	0
1632	2	2	57	120	0
1632	2	2	45	120	0
1632	2	2	48	120	0
1632	2	2	52	120	0
1635	2	2	59	120	0
1636	1	1	76	120	0
1638	2	2	59	120	0
1638	2	2	45	120	0
1638	2	2	57	120	0
1638	2	2	52	120	0
1638	2	2	48	120	0
1641	1	1	80	120	0
1641	2	2	60	120	0
1644	1	1	81	120	0
1644	2	2	60	120	0
1647	2	2	62	120	0
1648	1	1	76	120	0
1650	2	2	62	120	0
1653	1	1	81	120	0
1653	2	2	64	120	0
1656	1	1	84	120	0
1656	2	2	64	120	0
1659	2	2	65	120	0
1660	1	1	81	120	0
1662	2	2	65	120	0
1665	1	1	84	120	0
1665	2	2	67	120	0
1668	1	1	88	120	0
1668	2	2	50	120	0
1668	2	2	55	120	0
1668	2	2	47	120	0
1668	2	2	43	120	0
1668	2	2	67	120	0
1671	2	2	68	120	0
1672	1	1	84	120	0
1674	2	2	50	120	0
1674	2	2	55	120	0
1674	2	2	47	120	0
1674	2	2	43	120	0
1674	2	2	68	120	0
1677	1	1	88	120	0
1677	2	2	69	120	0
1680	1	1	92	120	0
1680	2	2	57	120	0
1680	2	2	52	120	0
1680	2	2	48	120	0
1680	2	2	45	120	0
1680	2	2	69	120	0
1683	2	2	71	120	0
1684	1	1	88	120	0
1686	2	2	71	120	0
1686	2	2	57	120	0
1686	2	2	52	120	0
1686	2	2	48	120	0
1686	2	2	45	120	0
1689	1	1	96	120	0
1689	2	2	72	120	0
1692	1	1	92	120	0
1692	2	2	72	120	0
1695	2	2	74	120	0
1696	1	1	88	120	0
1698	2	2	74	120	0
1701	1	1	96	120	0
1701	2	2	76	120	0
1704	1	1	92	120	0
1704	2	2	76	120	0
1707	2	2	77	120	0
1708	1	1	88	120	0
1710	2	2	77	120	0
1713	1	1	96	120	0
1713	2	2	79	120	0
1716	1	1	92	120	0
1716	2	2	79	120	0
1716	2	2	43	120	0
1716	2	2	47	120	0
1716	2	2	50	120	0
1716	2	2	55	120	0
1719	2	2	80	120	0
1720	1	1	88	120	0
1722	2	2	80	120	0
1725	1	1	100	120	0
1725	2	2	81	120	0
1728	1	1	69	120	0
1728	1	1	81	120	0
1728	2	2	45	120	0
1728	2	2	57	120	0
1728	2	2	48	120	0
1728	2	2	52	120	0
1740	1	1	69	120	0
1740	1	1	81	120	0
1740	2	2	48	120	0
1740	2	2	52	120	0
1740	2	2	45	120	0
1740	2	2	57	120	0
1752	1	1	82	120	0
1752	1	1	70	120	0
1752	2	2	48	120	0
1752	2	2	57	120	0
1752	2	2	45	120	0
1752	2	2	52	120	0
1758	1	1	83	120	0
1758	1	1	71	120	0
1758	2	2	55	120	0
1758	2	2	47	120	0
1758	2	2	43	120	0
1758	2	2	50	120	0
1770	1	1	84	120	0
1770	1	1	72	120	0
1770	2	2	48	120	0
1770	2	2	57	120	0
1770	2	2	45	120	0
1770	2	2	52	120	0
1776	1	1	81	120	0
1776	1	1	69	120	0
1776	2	2	52	120	0
1776	2	2	45	120	0
1776	2	2	48	120	0
1776	2	2	57	120	0
1788	1	1	69	120	0
1788	1	1	81	120	0
1788	2	2	45	120	0
1788	2	2	48	120	0
1788	2	2	52	120	0
1788	2	2	57	120	0
1800	1	1	82	120	0
1800	1	1	70	120	0
1800	2	2	45	120	0
1800	2	2	52	120	0
1800	2	2	48	120	0
1800	2	2	57	120	0
1806	1	1	71	120	0
1806	1	1	83	120	0
1806	2	2	50	120	0
1806	2	2	55	120	0
1806	2	2	47	120	0
1806	2	2	43	120	0
1818	1	1	72	120	0
1818	1	1	84	120	0
1818	2	2	57	120	0
1818	2	2	45	120	0
1818	2	2	48	120	0
1818	2	2	52	120	0
1824	1	1	81	120	0
1824	1	1	93	120	0
1824	2	2	52	120	0
1824	2	2	48	120	0
1824	2	2	45	120	0
1824	2	2	57	120	0
1827	2	2	59	120	0
1830	1	1	81	120	0
1830	1	1	93	120	0
1830	2	2	59	120	0
1833	2	2	60	120	0
1836	1	1	81	120	0
1836	1	1	93	120	0
1836	2	2	57	120	0
1836	2	2	60	120	0
1836	2	2	45	120	0
1836	2	2	48	120	0
1836	2	2	52	120	0
1839	2	2	62	120	0
1842	1	1	81	120	0
1842	1	1	93	120	0
1842	2	2	62	120	0
1845	2	2	64	120	0
1848	1	1	94	120	0
1848	1	1	82	120	0
1848	2	2	57	120	0
1848	2	2	52	120	0
1848	2	2	48	120	0
1848	2	2	64	120	0
1848	2	2	45	120	0
1851	2	2	65	120	0
1854	1	1	95	120	0
1854	1	1	83	120	0
1854	2	2	65	120	0
1854	2	2	43	120	0
1854	2	2	47	120	0
1854	2	2	50	120	0
1854	2	2	55	120	0
1857	2	2	67	120	0
