time	track	bar	beat0	7	0	0
39175	9	14	58
39175	8	14	58
39175	7	14	58
39175	4	14	58
39175	2	14	58
39490	7	14	59
39506	4	14	59
39506	7	14	59
39506	10	14	59
39804	1	14	59
39804	2	14	59
39822	7	14	59
39838	10	14	59
39838	8	14	59
39838	9	14	59
39839	1	14	59
39839	2	14	59
39839	4	14	59
39839	7	14	59
39839	8	14	59
39839	9	14	59
39839	10	14	59
40154	7	15	60
40170	4	15	60
40170	7	15	60
40486	7	15	60
40502	9	15	60
40502	10	15	60
40503	9	15	60
40503	7	15	60
40503	4	15	60
40818	7	15	61
40834	4	15	61
40834	7	15	61
40834	10	15	61
41149	7	15	61
41167	9	15	61
41167	10	15	61
41168	4	15	61
41168	7	15	61
41168	9	15	61
41483	7	15	62
41499	10	15	62
41499	9	15	62
41499	9	15	62
41499	4	15	62
41499	7	15	62
41499	3	15	62
41499	3	15	62
41732	1	15	62
41732	2	15	62
41813	7	15	62
41831	3	15	62
41831	8	15	62
41831	9	15	62
41831	10	15	62
41832	9	15	62
41832	8	15	62
41832	7	15	62
41832	6	15	62
41832	3	15	62
41832	2	15	62
41832	1	15	62
41832	4	15	62
42147	6	15	63
42163	7	15	63
42163	10	15	63
42163	9	15	63
42163	9	15	63
42163	6	15	63
42163	4	15	63
42163	3	15	63
42163	3	15	63
42461	1	15	63
42461	2	15	63
42477	6	15	63
42493	10	15	63
42493	9	15	63
42493	3	15	63
42493	8	15	63
42495	10	15	63
42495	9	15	63
42495	8	15	63
42495	6	15	63
42495	4	15	63
42495	3	15	63
42495	2	15	63
42495	1	15	63
42810	6	16	64
42826	4	16	64
42826	6	16	64
43141	6	16	64
43157	9	16	64
43157	10	16	64
43159	4	16	64
43159	9	16	64
43159	6	16	64
43379	3	16	65
43380	3	16	65
43473	6	16	65
43489	4	16	65
43489	6	16	65
43489	10	16	65
43600	3	16	65
43600	3	16	65
43804	6	16	65
43820	3	16	65
43820	9	16	65
43820	10	16	65
43822	9	16	65
43822	9	16	65
43822	6	16	65
43822	3	16	65
43822	4	16	65
44137	6	16	66
44153	3	16	66
44153	3	16	66
44153	10	16	66
44153	4	16	66
44153	6	16	66
44319	3	16	66
44320	3	16	66
44385	1	16	66
44385	2	16	66
44466	6	16	66
44482	3	16	66
44482	8	16	66
44482	9	16	66
44482	9	16	66
44482	10	16	66
44484	3	16	66
44484	9	16	66
44484	8	16	66
44484	6	16	66
44484	4	16	66
44484	2	16	66
44484	1	16	66
44799	6	16	67
44815	3	16	67
44815	4	16	67
44816	3	16	67
44816	6	16	67
44816	10	16	67
44925	3	16	67
44925	3	16	67
45036	3	16	67
45037	3	16	67
45113	2	16	67
45113	1	16	67
45128	6	16	67
45144	8	16	67
45144	9	16	67
45144	10	16	67
45146	1	16	67
45146	2	16	67
45146	4	16	67
45146	6	16	67
45146	8	16	67
45146	9	16	67
45146	10	16	67
45461	6	17	68
45477	4	17	68
45477	3	17	68
45478	3	17	68
45478	6	17	68
45791	6	17	68
45807	9	17	68
45807	10	17	68
45809	4	17	68
45809	6	17	68
45809	9	17	68
46124	6	17	69
46140	4	17	69
46141	6	17	69
46141	10	17	69
46456	6	17	69
46471	10	17	69
46471	9	17	69
46473	4	17	69
46473	9	17	69
46473	6	17	69
46473	9	17	69
46788	6	17	70
46804	3	17	70
46804	4	17	70
46805	3	17	70
46805	6	17	70
46805	10	17	70
47036	1	17	70
47036	2	17	70
47119	6	17	70
47134	10	17	70
47134	9	17	70
47134	8	17	70
47134	3	17	70
47134	9	17	70
