time:17117	pitch:82	volume:120	bar:14	beat:43
time:17117	pitch:84	volume:0	bar:14	beat:43
time:17503	pitch:84	volume:120	bar:14	beat:44
time:17503	pitch:82	volume:0	bar:14	beat:44
time:17503	pitch:77	volume:0	bar:14	beat:44
time:17503	pitch:72	volume:120	bar:14	beat:44
time:17503	pitch:74	volume:0	bar:14	beat:44
time:17895	pitch:67	volume:120	bar:15	beat:45
time:17895	pitch:72	volume:0	bar:15	beat:45
time:18284	pitch:84	volume:0	bar:15	beat:46
time:18284	pitch:67	volume:0	bar:15	beat:46
time:18284	pitch:63	volume:120	bar:15	beat:46
time:18673	pitch:63	volume:0	bar:15	beat:47
time:18673	pitch:60	volume:120	bar:15	beat:47
time:19452	pitch:67	volume:120	bar:16	beat:49
time:19452	pitch:60	volume:0	bar:16	beat:49
time:19841	pitch:67	volume:0	bar:16	beat:50
time:19841	pitch:75	volume:120	bar:16	beat:50
time:19841	pitch:48	volume:120	bar:16	beat:50
time:19841	pitch:48	volume:125	bar:16	beat:50
time:20035	pitch:55	volume:120	bar:17	beat:51
time:20229	pitch:63	volume:120	bar:17	beat:51
time:20229	pitch:75	volume:0	bar:17	beat:51
time:20229	pitch:75	volume:120	bar:17	beat:51
time:20423	pitch:75	volume:0	bar:17	beat:52
time:20423	pitch:55	volume:0	bar:17	beat:52
time:20423	pitch:77	volume:120	bar:17	beat:52
time:20614	pitch:79	volume:120	bar:17	beat:52
time:20614	pitch:77	volume:0	bar:17	beat:52
time:21006	pitch:74	volume:120	bar:17	beat:53
time:21006	pitch:79	volume:0	bar:17	beat:53
time:21006	pitch:63	volume:0	bar:17	beat:53
time:21006	pitch:46	volume:120	bar:17	beat:53
time:21006	pitch:48	volume:0	bar:17	beat:53
time:21006	pitch:48	volume:0	bar:17	beat:53
time:21006	pitch:46	volume:125	bar:17	beat:53
time:21200	pitch:53	volume:120	bar:18	beat:54
time:21394	pitch:82	volume:120	bar:18	beat:54
time:21394	pitch:62	volume:120	bar:18	beat:54
time:21394	pitch:74	volume:0	bar:18	beat:54
time:21978	pitch:53	volume:0	bar:18	beat:56
time:22172	pitch:82	volume:0	bar:18	beat:56
time:22172	pitch:72	volume:120	bar:18	beat:56
time:22172	pitch:46	volume:0	bar:18	beat:56
time:22172	pitch:62	volume:0	bar:18	beat:56
time:22172	pitch:44	volume:120	bar:18	beat:56
time:22172	pitch:44	volume:125	bar:18	beat:56
time:22172	pitch:46	volume:0	bar:18	beat:56
time:22366	pitch:51	volume:120	bar:19	beat:57
time:22557	pitch:60	volume:120	bar:19	beat:57
time:22557	pitch:72	volume:120	bar:19	beat:57
time:22557	pitch:72	volume:0	bar:19	beat:57
time:22755	pitch:74	volume:120	bar:19	beat:58
time:22755	pitch:72	volume:0	bar:19	beat:58
time:22949	pitch:75	volume:120	bar:19	beat:58
time:22949	pitch:74	volume:0	bar:19	beat:58
time:23143	pitch:51	volume:0	bar:19	beat:59
time:23337	pitch:75	volume:0	bar:19	beat:59
time:23337	pitch:43	volume:125	bar:19	beat:59
time:23337	pitch:44	volume:0	bar:19	beat:59
time:23337	pitch:60	volume:0	bar:19	beat:59
time:23337	pitch:44	volume:0	bar:19	beat:59
time:23337	pitch:43	volume:120	bar:19	beat:59
time:23337	pitch:70	volume:120	bar:19	beat:59
time:23531	pitch:50	volume:120	bar:20	beat:60
time:23725	pitch:79	volume:120	bar:20	beat:60
time:23725	pitch:58	volume:120	bar:20	beat:60
time:23725	pitch:70	volume:0	bar:20	beat:60
time:24309	pitch:50	volume:0	bar:20	beat:62
time:24500	pitch:79	volume:0	bar:20	beat:62
time:24500	pitch:68	volume:120	bar:20	beat:62
time:24500	pitch:58	volume:0	bar:20	beat:62
time:24500	pitch:43	volume:0	bar:20	beat:62
time:24500	pitch:41	volume:120	bar:20	beat:62
time:24500	pitch:41	volume:125	bar:20	beat:62
time:24500	pitch:43	volume:0	bar:20	beat:62
time:24698	pitch:48	volume:120	bar:21	beat:63
time:24892	pitch:68	volume:120	bar:21	beat:63
time:24892	pitch:68	volume:0	bar:21	beat:63
time:24892	pitch:56	volume:120	bar:21	beat:63
time:25086	pitch:70	volume:120	bar:21	beat:64
time:25086	pitch:68	volume:0	bar:21	beat:64
time:25280	pitch:70	volume:0	bar:21	beat:64
time:25280	pitch:72	volume:120	bar:21	beat:64
time:25474	pitch:48	volume:0	bar:21	beat:65
time:25668	pitch:72	volume:0	bar:21	beat:65
time:25668	pitch:74	volume:120	bar:21	beat:65
time:25668	pitch:41	volume:0	bar:21	beat:65
time:25668	pitch:56	volume:0	bar:21	beat:65
time:25668	pitch:46	volume:120	bar:21	beat:65
time:25668	pitch:41	volume:0	bar:21	beat:65
time:25668	pitch:46	volume:125	bar:21	beat:65
time:25862	pitch:53	volume:120	bar:22	beat:66
time:26056	pitch:74	volume:0	bar:22	beat:66
time:26056	pitch:72	volume:120	bar:22	beat:66
time:26056	pitch:62	volume:120	bar:22	beat:66
time:26442	pitch:72	volume:0	bar:22	beat:67
time:26442	pitch:70	volume:120	bar:22	beat:67
time:26640	pitch:53	volume:0	bar:22	beat:68
time:26834	pitch:70	volume:0	bar:22	beat:68
time:26834	pitch:67	volume:120	bar:22	beat:68
time:26834	pitch:46	volume:0	bar:22	beat:68
time:26834	pitch:62	volume:0	bar:22	beat:68
time:26834	pitch:39	volume:120	bar:22	beat:68
time:26834	pitch:39	volume:125	bar:22	beat:68
time:26834	pitch:46	volume:0	bar:22	beat:68
time:27028	pitch:46	volume:120	bar:23	beat:69
time:27222	pitch:55	volume:120	bar:23	beat:69
time:27222	pitch:75	volume:96	bar:23	beat:69
time:27611	pitch:74	volume:96	bar:23	beat:70
time:27611	pitch:75	volume:0	bar:23	beat:70
time:27611	pitch:65	volume:120	bar:23	beat:70
time:27611	pitch:67	volume:0	bar:23	beat:70
time:27805	pitch:46	volume:0	bar:23	beat:71
time:27999	pitch:65	volume:0	bar:23	beat:71
time:27999	pitch:67	volume:120	bar:23	beat:71
time:27999	pitch:39	volume:0	bar:23	beat:71
time:27999	pitch:43	volume:120	bar:23	beat:71
time:27999	pitch:55	volume:0	bar:23	beat:71
time:27999	pitch:39	volume:0	bar:23	beat:71
time:27999	pitch:43	volume:125	bar:23	beat:71
time:27999	pitch:74	volume:0	bar:23	beat:71
time:27999	pitch:72	volume:96	bar:23	beat:71
time:28193	pitch:50	volume:120	bar:24	beat:72
time:28387	pitch:59	volume:120	bar:24	beat:72
time:28776	pitch:67	volume:0	bar:24	beat:73
time:28776	pitch:71	volume:96	bar:24	beat:73
time:28776	pitch:72	volume:0	bar:24	beat:73
time:28776	pitch:67	volume:120	bar:24	beat:73
time:28970	pitch:50	volume:0	bar:24	beat:74
time:29164	pitch:67	volume:0	bar:24	beat:74
time:29164	pitch:75	volume:120	bar:24	beat:74
time:29164	pitch:48	volume:120	bar:24	beat:74
time:29164	pitch:59	volume:0	bar:24	beat:74
time:29164	pitch:43	volume:0	bar:24	beat:74
time:29164	pitch:48	volume:125	bar:24	beat:74
