time	duration	track	channel	instrument	pitch	velocity	bar	beat
14059720	87873	2	1	48	70	120	10.000000	40.000000
14235466	87873	2	1	48	63	120	10.125000	40.500000
14235466	87873	2	1	48	70	120	10.125000	40.500000
14586959	87873	2	1	48	63	120	10.375000	41.500000
14586959	87873	2	1	48	70	120	10.375000	41.500000
14762706	87873	1	0	48	77	120	10.500000	42.000000
14762706	87873	1	0	48	82	120	10.500000	42.000000
14762706	87873	1	0	48	89	120	10.500000	42.000000
14762706	87873	2	1	48	63	120	10.500000	42.000000
14762706	87873	2	1	48	70	120	10.500000	42.000000
14938452	87873	2	1	48	63	120	10.625000	42.500000
14938452	87873	2	1	48	70	120	10.625000	42.500000
15289945	87873	2	1	48	63	120	10.875000	43.500000
15289945	87873	2	1	48	70	120	10.875000	43.500000
15465692	87873	1	0	48	65	120	11.000000	44.000000
15465692	87873	1	0	48	70	120	11.000000	44.000000
15465692	87873	1	0	48	77	120	11.000000	44.000000
15465692	87873	2	1	48	63	120	11.000000	44.000000
15465692	87873	2	1	48	65	120	11.000000	44.000000
15465692	87873	2	1	48	70	120	11.000000	44.000000
15641438	87873	2	1	48	63	120	11.125000	44.500000
15641438	87873	2	1	48	70	120	11.125000	44.500000
15992931	87873	2	1	48	63	120	11.375000	45.500000
15992931	87873	2	1	48	70	120	11.375000	45.500000
16168678	87873	2	1	48	63	120	11.500000	46.000000
16168678	87873	2	1	48	70	120	11.500000	46.000000
16344424	87873	2	1	48	63	120	11.625000	46.500000
16344424	87873	2	1	48	70	120	11.625000	46.500000
16520171	87873	2	1	48	63	120	11.750000	47.000000
16520171	87873	2	1	48	70	120	11.750000	47.000000
16695917	87873	2	1	48	65	120	11.875000	47.500000
16695917	87873	2	1	48	72	120	11.875000	47.500000
16871664	87873	1	0	48	65	120	12.000000	48.000000
16871664	87873	1	0	48	69	120	12.000000	48.000000
16871664	87873	1	0	48	77	120	12.000000	48.000000
16871664	87873	2	1	48	62	120	12.000000	48.000000
16871664	87873	2	1	48	69	120	12.000000	48.000000
17047410	87873	2	1	48	62	120	12.125000	48.500000
17047410	87873	2	1	48	69	120	12.125000	48.500000
17398903	87873	2	1	48	62	120	12.375000	49.500000
17398903	87873	2	1	48	69	120	12.375000	49.500000
17574650	87873	1	0	48	69	120	12.500000	50.000000
17574650	87873	1	0	48	77	120	12.500000	50.000000
17574650	87873	1	0	48	81	120	12.500000	50.000000
17574650	87873	2	1	48	62	120	12.500000	50.000000
17574650	87873	2	1	48	69	120	12.500000	50.000000
17750396	87873	2	1	48	62	120	12.625000	50.500000
17750396	87873	2	1	48	69	120	12.625000	50.500000
18101889	87873	2	1	48	62	120	12.875000	51.500000
18101889	87873	2	1	48	69	120	12.875000	51.500000
18277636	87873	1	0	48	81	120	13.000000	52.000000
18277636	87873	1	0	48	84	120	13.000000	52.000000
18277636	87873	1	0	48	93	120	13.000000	52.000000
18277636	87873	2	1	48	62	120	13.000000	52.000000
18277636	87873	2	1	48	69	120	13.000000	52.000000
18453382	87873	2	1	48	62	120	13.125000	52.500000
18453382	87873	2	1	48	69	120	13.125000	52.500000
18804875	87873	2	1	48	62	120	13.375000	53.500000
18804875	87873	2	1	48	69	120	13.375000	53.500000
18980622	87873	2	1	48	62	120	13.500000	54.000000
18980622	87873	2	1	48	69	120	13.500000	54.000000
19156368	87873	2	1	48	62	120	13.625000	54.500000
19156368	87873	2	1	48	69	120	13.625000	54.500000
19332115	87873	1	0	48	82	120	13.750000	55.000000
19332115	87873	1	0	48	86	120	13.750000	55.000000
19332115	87873	1	0	48	94	120	13.750000	55.000000
19332115	87873	2	1	48	62	120	13.750000	55.000000
19332115	87873	2	1	48	69	120	13.750000	55.000000
