68000	3000	3	2	80	72	120
68000	3000	4	3	57	60	120
68000	500	10	9	16	36	100
68000	500	10	9	16	46	80
68000	500	13	12	29	39	120
68000	500	14	13	30	39	120
68000	500	15	14	33	27	120
68500	250	1	0	48	82	120
68500	250	1	0	48	86	120
68500	500	10	9	16	36	100
68500	500	13	12	29	51	120
68500	500	14	13	30	51	120
68500	500	15	14	33	39	120
69000	500	10	9	16	38	100
69000	500	10	9	16	46	80
69000	500	13	12	29	39	120
69000	500	14	13	30	39	120
69000	500	15	14	33	27	120
69500	500	10	9	16	36	100
69500	500	13	12	29	39	120
69500	500	14	13	30	39	120
69500	500	15	14	33	27	120
70000	250	1	0	48	82	120
70000	250	1	0	48	86	120
70000	500	10	9	16	36	100
70000	500	10	9	16	46	80
70000	500	13	12	29	51	120
70000	500	14	13	30	51	120
70000	500	15	14	33	39	120
70500	500	10	9	16	36	100
70500	500	13	12	29	39	120
70500	500	14	13	30	39	120
70500	500	15	14	33	27	120
71000	250	1	0	48	82	120
71000	250	1	0	48	86	120
71000	500	10	9	16	38	100
71000	500	10	9	16	46	80
71000	500	13	12	29	51	120
71000	500	14	13	30	51	120
71000	500	15	14	33	39	120
71500	250	1	0	48	86	120
71500	250	1	0	48	89	120
71500	500	10	9	16	36	100
71500	500	13	12	29	53	120
71500	500	14	13	30	53	120
71500	500	15	14	33	41	120
72000	250	1	0	48	82	120
72000	250	1	0	48	86	120
72000	8000	2	1	48	39	100
72000	8000	2	1	48	46	100
72000	8000	2	1	48	51	100
72000	2000	2	1	48	58	120
72000	2000	2	1	48	70	120
72000	2000	3	2	80	70	120
72000	2000	4	3	57	58	120
72000	500	10	9	16	36	100
72000	500	10	9	16	46	80
72000	500	13	12	29	51	120
72000	500	14	13	30	51	120
72000	500	15	14	33	39	120
72500	500	10	9	16	36	100
72500	500	13	12	29	39	120
72500	500	14	13	30	39	120
72500	500	15	14	33	27	120
73000	500	10	9	16	38	100
73000	500	10	9	16	46	80
73000	500	13	12	29	39	120
73000	500	14	13	30	39	120
73000	500	15	14	33	27	120
73500	250	1	0	48	82	120
73500	250	1	0	48	86	120
73500	500	10	9	16	36	100
73500	500	13	12	29	51	120
73500	500	14	13	30	51	120
73500	500	15	14	33	39	120
74000	2000	2	1	48	65	120
74000	2000	2	1	48	77	120
74000	2000	3	2	80	77	120
74000	2000	4	3	57	65	120
74000	500	10	9	16	36	100
74000	500	10	9	16	46	80
74000	500	13	12	29	39	120
74000	500	14	13	30	39	120
74000	500	15	14	33	27	120
74500	500	10	9	16	36	100
74500	500	13	12	29	39	120
74500	500	14	13	30	39	120
74500	500	15	14	33	27	120
75000	250	1	0	48	82	120
75000	250	1	0	48	86	120
75000	500	10	9	16	38	100
75000	500	10	9	16	46	80
75000	500	13	12	29	51	120
75000	500	14	13	30	51	120
75000	500	15	14	33	39	120
75500	500	10	9	16	36	100
75500	500	13	12	29	39	120
75500	500	14	13	30	39	120
75500	500	15	14	33	27	120
76000	3000	2	1	48	53	120
76000	3000	2	1	48	65	120
76000	3000	3	2	80	65	120
76000	3000	4	3	57	53	120
76000	500	10	9	16	36	100
76000	500	10	9	16	46	80
76000	500	13	12	29	39	120
76000	500	14	13	30	39	120
76000	500	15	14	33	27	120
76500	250	1	0	48	82	120
76500	250	1	0	48	86	120
76500	500	10	9	16	36	100
76500	500	13	12	29	51	120
76500	500	14	13	30	51	120
76500	500	15	14	33	39	120
77000	500	10	9	16	38	100
77000	500	10	9	16	46	80
77000	500	13	12	29	39	120
77000	500	14	13	30	39	120
77000	500	15	14	33	27	120
77500	500	10	9	16	36	100
77500	500	13	12	29	39	120
77500	500	14	13	30	39	120
77500	500	15	14	33	27	120
78000	250	1	0	48	82	120
78000	250	1	0	48	86	120
78000	500	10	9	16	36	100
78000	500	10	9	16	46	80
78000	500	13	12	29	51	120
78000	500	14	13	30	51	120
78000	500	15	14	33	39	120
78500	500	10	9	16	36	100
78500	500	13	12	29	39	120
78500	500	14	13	30	39	120
78500	500	15	14	33	27	120
79000	250	1	0	48	82	120
79000	250	1	0	48	86	120
79000	500	10	9	16	38	100
79000	500	10	9	16	46	80
79000	500	13	12	29	51	120
79000	500	14	13	30	51	120
79000	500	15	14	33	39	120
79500	250	1	0	48	86	120
79500	250	1	0	48	89	120
79500	500	10	9	16	36	100
79500	500	13	12	29	53	120
79500	500	14	13	30	53	120
79500	500	15	14	33	41	120
80000	250	1	0	48	81	120
80000	250	1	0	48	86	120
80000	8000	2	1	48	38	100
80000	8000	2	1	48	45	100
80000	8000	2	1	48	50	100
80000	2000	2	1	48	57	120
80000	2000	2	1	48	62	120
80000	2000	2	1	48	69	120
80000	2000	3	2	80	62	120
80000	2000	3	2	80	69	120
80000	2000	4	3	57	50	120
80000	500	10	9	16	36	100
80000	500	10	9	16	46	80
80000	500	13	12	29	50	120
80000	500	14	13	30	50	120
80000	500	15	14	33	38	120
80500	500	10	9	16	36	100
80500	500	13	12	29	38	120
80500	500	14	13	30	38	120
80500	500	15	14	33	26	120
81000	500	10	9	16	38	100
81000	500	10	9	16	46	80
81000	500	13	12	29	38	120
81000	500	14	13	30	38	120
81000	500	15	14	33	26	120
81500	500	10	9	16	36	100
81500	500	13	12	29	38	120
81500	500	14	13	30	38	120
81500	500	15	14	33	26	120
82000	250	1	0	48	81	120
82000	250	1	0	48	86	120
82000	2000	2	1	48	62	120
82000	2000	2	1	48	69	120
82000	2000	2	1	48	74	120
82000	2000	3	2	80	69	120
82000	2000	3	2	80	74	120
82000	2000	4	3	57	57	120
82000	500	10	9	16	36	100
82000	500	10	9	16	46	80
82000	500	13	12	29	50	120
82000	500	14	13	30	50	120
82000	500	15	14	33	38	120
82500	500	10	9	16	36	100
82500	500	13	12	29	38	120
82500	500	14	13	30	38	120
82500	500	15	14	33	26	120
83000	500	10	9	16	38	100
83000	500	10	9	16	46	80
83000	500	13	12	29	38	120
83000	500	14	13	30	38	120
83000	500	15	14	33	26	120
83500	250	1	0	48	81	120
83500	250	1	0	48	86	120
83500	500	10	9	16	36	100
83500	500	13	12	29	50	120
83500	500	14	13	30	50	120
83500	500	15	14	33	38	120
84000	2000	2	1	48	69	120
84000	2000	2	1	48	77	120
84000	2000	2	1	48	81	120
84000	2000	3	2	80	69	120
84000	2000	3	2	80	77	120
84000	2000	4	3	57	65	120
84000	500	10	9	16	36	100
