time	track	channel	bar	pitch	volume	bar	instrument
989	0	1	15	62	95	15	0
989	0	9	15	36	95	15	0
989	0	11	15	57	54	15	0
989	0	9	15	41	95	15	0
989	0	9	15	35	95	15	0
989	0	1	15	53	95	15	0
989	0	1	15	50	95	15	0
989	0	2	15	69	111	15	0
997	0	1	15	62	95	15	0
997	0	1	15	45	95	15	0
997	0	2	15	69	111	15	0
997	0	11	15	57	54	15	0
997	0	9	15	41	95	15	0
997	0	11	15	45	54	15	0
1005	0	9	15	69	95	15	0
1005	0	9	15	40	95	15	0
1005	0	2	15	69	111	15	0
1005	0	1	15	62	95	15	0
1005	0	1	15	50	95	15	0
1005	0	1	15	53	95	15	0
1013	0	2	15	69	111	15	0
1013	0	1	15	45	95	15	0
1021	0	2	15	69	111	15	0
1021	0	9	15	41	95	15	0
1021	0	9	15	35	95	15	0
1021	0	9	15	36	95	15	0
1021	0	6	15	34	64	15	0
1021	0	6	15	46	64	15	0
1021	0	11	15	53	54	15	0
1021	0	11	15	41	54	15	0
1021	0	1	15	58	95	15	0
1021	0	1	15	62	95	15	0
1021	0	1	15	46	95	15	0
1029	0	1	16	53	95	16	0
1029	0	2	16	67	111	16	0
1037	0	1	16	57	95	16	0
1037	0	2	16	65	111	16	0
1037	0	9	16	40	95	16	0
1037	0	9	16	69	95	16	0
1045	0	2	16	60	111	16	0
1045	0	1	16	55	95	16	0
1053	0	1	16	60	95	16	0
1053	0	1	16	48	95	16	0
1053	0	9	16	41	95	16	0
1053	0	9	16	35	95	16	0
1053	0	9	16	36	95	16	0
1053	0	11	16	41	54	16	0
1053	0	11	16	53	54	16	0
1054	0	6	16	60	64	16	0
1054	0	6	16	48	64	16	0
1057	0	1	16	64	95	16	0
1061	0	11	16	36	54	16	0
1061	0	11	16	48	54	16	0
1061	0	9	16	41	95	16	0
1061	0	1	16	70	95	16	0
1061	0	1	16	67	95	16	0
1065	0	1	16	64	95	16	0
1065	0	1	16	55	95	16	0
1069	0	9	16	69	95	16	0
1069	0	1	16	72	95	16	0
1069	0	9	16	40	95	16	0
1069	0	1	16	60	95	16	0
1069	0	1	16	69	95	16	0
1072	0	1	16	55	95	16	0
1072	0	1	16	67	95	16	0
1076	0	1	16	64	95	16	0
1076	0	1	16	52	95	16	0
1080	0	1	16	60	95	16	0
1080	0	1	16	48	95	16	0
1084	0	9	16	41	95	16	0
1084	0	9	16	36	95	16	0
1084	0	6	16	45	64	16	0
1084	0	6	16	57	64	16	0
1084	0	1	16	62	95	16	0
1084	0	1	16	41	95	16	0
1084	0	11	16	45	54	16	0
1084	0	2	16	69	111	16	0
1084	0	9	16	35	95	16	0
1084	0	11	16	57	54	16	0
1092	0	1	17	62	95	17	0
1092	0	1	17	48	95	17	0
1092	0	2	17	69	111	17	0
1100	0	9	17	69	95	17	0
1100	0	1	17	62	95	17	0
1100	0	1	17	57	95	17	0
1100	0	1	17	55	95	17	0
1100	0	2	17	69	111	17	0
1100	0	9	17	40	95	17	0
1108	0	2	17	69	111	17	0
1108	0	1	17	48	95	17	0
1108	0	1	17	62	95	17	0
1116	0	2	17	69	111	17	0
1116	0	11	17	57	54	17	0
1116	0	11	17	45	54	17	0
1116	0	9	17	41	95	17	0
1116	0	9	17	36	95	17	0
1116	0	9	17	35	95	17	0
1116	0	1	17	62	95	17	0
1116	0	1	17	57	95	17	0
1116	0	1	17	55	95	17	0
1124	0	2	17	69	111	17	0
1124	0	1	17	62	95	17	0
1124	0	11	17	45	54	17	0
1124	0	11	17	57	54	17	0
1124	0	9	17	41	95	17	0
1124	0	1	17	48	95	17	0
1132	0	1	17	57	95	17	0
1132	0	9	17	69	95	17	0
1132	0	9	17	40	95	17	0
1132	0	1	17	62	95	17	0
1132	0	1	17	55	95	17	0
1132	0	2	17	67	111	17	0
1140	0	1	17	48	95	17	0
1140	0	2	17	65	111	17	0
1148	0	11	17	55	54	17	0
1148	0	9	17	36	95	17	0
1148	0	2	17	69	111	17	0
1148	0	1	17	62	95	17	0
1148	0	1	17	36	95	17	0
1148	0	9	17	35	95	17	0
1148	0	6	17	36	64	17	0
1148	0	11	17	43	54	17	0
1148	0	9	17	41	95	17	0
1148	0	6	17	48	64	17	0
1156	0	2	18	72	111	18	0
1156	0	1	18	43	95	18	0
1164	0	9	18	40	95	18	0
1164	0	9	18	69	95	18	0
1164	0	2	18	69	111	18	0
1164	0	1	18	55	95	18	0
1172	0	2	18	67	111	18	0
1172	0	1	18	48	95	18	0
1180	0	1	18	60	95	18	0
1180	0	11	18	43	54	18	0
1180	0	11	18	55	54	18	0
1180	0	9	18	41	95	18	0
1180	0	9	18	35	95	18	0
1180	0	9	18	36	95	18	0
1188	0	1	18	48	95	18	0
1188	0	2	18	60	111	18	0
1188	0	9	18	41	95	18	0
1188	0	11	18	43	54	18	0
1188	0	11	18	55	54	18	0
1196	0	1	18	55	95	18	0
1196	0	2	18	65	111	18	0
1196	0	9	18	69	95	18	0
1196	0	9	18	40	95	18	0
1204	0	1	18	48	95	18	0
1204	0	2	18	67	111	18	0
1212	0	2	18	69	111	18	0
1212	0	1	18	62	95	18	0
1212	0	6	18	50	64	18	0
1212	0	6	18	38	64	18	0
1212	0	11	18	41	54	18	0
1212	0	11	18	53	54	18	0
1212	0	9	18	35	95	18	0
1212	0	1	18	38	95	18	0
1212	0	9	18	41	95	18	0
1212	0	9	18	36	95	18	0
1220	0	2	19	67	111	19	0
1220	0	1	19	45	95	19	0
1228	0	9	19	40	95	19	0
1228	0	9	19	69	95	19	0
1228	0	2	19	65	111	19	0
1228	0	1	19	50	95	19	0
1228	0	1	19	53	95	19	0
1236	0	2	19	60	111	19	0
1236	0	1	19	45	95	19	0
1244	0	9	19	35	95	19	0
1244	0	2	19	62	111	19	0
1244	0	11	19	41	54	19	0
1244	0	11	19	53	54	19	0
1244	0	9	19	41	95	19	0
1244	0	9	19	36	95	19	0
1244	0	1	19	50	95	19	0
1244	0	1	19	53	95	19	0
1244	0	1	19	57	95	19	0
1252	0	11	19	50	54	19	0
1252	0	1	19	45	95	19	0
1252	0	11	19	36	54	19	0
1252	0	9	19	41	95	19	0
1252	0	2	19	65	111	19	0
1260	0	9	19	69	95	19	0
1260	0	9	19	40	95	19	0
1260	0	2	19	62	111	19	0
1260	0	1	19	50	95	19	0
1260	0	1	19	53	95	19	0
1268	0	1	19	45	95	19	0
1268	0	2	19	67	111	19	0
1272	0	2	19	65	111	19	0
1275	0	6	19	46	64	19	0
1276	0	9	19	36	95	19	0
1276	0	9	19	41	95	19	0
1276	0	1	19	34	95	19	0
1276	0	6	19	41	64	19	0
1276	0	9	19	35	95	19	0
1276	0	4	19	46	71	19	0
1276	0	4	19	58	71	19	0
1276	0	4	19	33	71	19	0
1276	0	11	19	41	54	19	0
1276	0	11	19	53	54	19	0
1276	0	1	19	58	95	19	0
1276	0	1	19	46	95	19	0
1284	0	4	20	62	71	20	0
1284	0	1	20	53	95	20	0
1284	0	4	20	58	71	20	0
1284	0	4	20	65	71	20	0
1284	0	4	20	53	71	20	0
1291	0	4	20	62	71	20	0
1291	0	1	20	58	95	20	0
1291	0	9	20	69	95	20	0
1291	0	9	20	40	95	20	0
1291	0	4	20	82	71	20	0
1291	0	4	20	65	71	20	0
1291	0	4	20	77	71	20	0
1291	0	4	20	70	71	20	0
1291	0	4	20	58	71	20	0
1299	0	1	20	62	95	20	0
1299	0	9	20	69	95	20	0
1299	0	4	20	74	71	20	0
