time	track	channel	pitch	volume	instrument
384	6	9	42	0	0
384	6	9	35	72	0
384	6	9	42	72	0
388	1	1	76	0	39
388	1	1	77	80	39
388	6	9	38	72	0
388	6	9	42	0	0
392	1	1	77	0	39
392	1	1	79	80	39
392	2	4	65	53	4
392	6	9	42	72	0
392	6	9	38	0	0
392	6	9	35	72	0
392	6	9	35	0	0
396	1	1	79	0	39
396	1	1	81	80	39
400	2	4	69	53	4
400	6	9	38	72	0
400	6	9	42	72	0
400	6	9	35	0	0
400	6	9	42	0	0
404	1	1	81	0	39
404	1	1	72	80	39
406	2	4	58	0	4
408	1	1	72	0	39
408	1	1	84	80	39
408	2	4	74	56	4
408	6	9	42	0	0
408	6	9	42	72	0
408	6	9	38	0	0
410	5	7	46	0	35
412	1	1	84	0	39
412	1	1	81	80	39
412	6	9	42	0	0
412	6	9	38	72	0
415	2	4	74	0	4
416	2	4	67	56	4
416	2	4	60	53	4
416	2	4	55	53	4
416	2	4	69	0	4
416	2	4	65	0	4
416	4	6	64	46	48
416	4	6	60	36	48
416	4	6	48	41	48
416	4	6	74	0	48
416	4	6	69	0	48
416	4	6	58	0	48
416	5	7	36	65	35
416	6	9	42	72	0
416	6	9	35	72	0
416	6	9	38	0	0
420	6	9	38	72	0
420	6	9	42	0	0
423	2	4	67	0	4
424	2	4	64	39	4
424	6	9	38	0	0
424	6	9	50	72	0
428	3	5	55	53	25
431	5	7	36	0	35
431	2	4	64	0	4
432	2	4	72	56	4
432	3	5	60	62	25
432	3	5	64	68	25
432	5	7	40	72	35
432	6	9	47	72	0
432	6	9	50	0	0
432	6	9	35	0	0
436	6	9	47	72	0
436	6	9	47	0	0
439	3	5	55	0	25
439	2	4	72	0	4
439	3	5	64	0	25
439	3	5	60	0	25
439	5	7	40	0	35
440	2	4	67	45	4
440	5	7	31	68	35
440	6	9	47	0	0
440	6	9	45	72	0
445	4	6	64	0	48
445	4	6	48	0	48
445	4	6	60	0	48
445	2	4	55	0	4
446	2	4	60	0	4
447	2	4	67	0	4
447	5	7	31	0	35
448	1	1	81	0	39
448	1	1	67	80	39
448	1	1	62	80	39
448	2	4	50	56	4
448	4	6	69	48	48
448	4	6	67	44	48
448	4	6	62	44	48
448	5	7	38	65	35
448	6	9	49	72	0
448	6	9	35	72	0
448	6	9	45	0	0
456	2	4	57	53	4
464	2	4	62	53	4
464	6	9	35	0	0
464	6	9	49	0	0
470	2	4	50	0	4
472	2	4	67	56	4
474	5	7	38	0	35
