6041	14741
6043	17812
6043	16021
6043	17045
6048	2966164
6067	16022
6067	17046
6067	17814
6081	9879
6116	14740
6120	16020
6139	17044
6140	16017
6140	17041
6144	5260177
6144	5260177
6144	3683732
6144	4467095
6144	4727705
6144	4731289
6240	3488916
6240	3357078
6240	4729497
6240	12697
6286	5259665
6286	17297
6286	5259665
6286	17297
6334	16785
6334	16785
6336	5260177
6336	5260177
6336	3490196
6336	3357846
6336	9113
6336	4728473
6336	10905
6336	4729497
6419	13716
6424	14742
6432	3687828
6432	3686806
6432	9881
6432	10905
6432	4729497
6465	10647
6478	17297
6478	17297
6480	5259665
6480	5259665
6520	15510
6523	17812
6526	16785
6526	5260177
6526	16785
6526	5260177
6528	3688596
6528	3360150
6528	4270487
6528	10905
6528	4729497
6616	16790
6619	18580
6622	17297
6622	17297
6624	5260689
6624	5260689
6624	2573716
6624	4727705
6624	10905
6624	4729497
6672	3488917
6712	17814
6715	17812
6718	17809
6718	17809
6720	5261457
6720	5261457
6720	3688596
6720	4080021
6720	4474261
6720	9113
6720	4728473
6720	10905
6720	4729497
6809	15509
6811	18580
6811	16789
6811	17813
6814	18577
6814	18577
6816	5260689
6816	5260689
6816	2966932
6816	9881
6816	10905
6816	4729497
6849	10647
6862	17809
6862	17809
6864	5260177
6864	5260177
6884	15508
6888	16788
6907	17812
6910	17297
6910	17297
6912	5260177
6912	5260177
6912	3682452
6912	4465815
6912	4727705
6912	10905
6912	4729497
7008	3487636
7008	3355798
7008	10905
7008	4729497
7054	17297
7054	17297
7056	5259665
7056	5259665
7102	16785
7102	16785
7104	5260177
7104	5260177
7104	3488916
7104	3487638
7104	9113
7104	4728473
7104	10905
7104	4729497
7187	12436
7192	13462
7200	3686548
7200	3357846
7200	9881
7200	10905
7200	4729497
7233	9367
7246	17297
7246	17297
7248	5259665
7248	5259665
7288	14230
7291	16532
7294	16785
7294	16785
7296	5260177
7296	5260177
7296	3687316
7296	4465815
7296	10905
7296	4729497
7342	17297
7342	17297
7344	5260689
7344	5260689
7384	15510
7387	17300
7390	17809
7390	17809
7392	5260177
7392	5260177
7392	2572436
7392	4727705
7392	10905
7392	4729497
7438	17297
7438	17297
7440	5259665
7440	5259665
7440	3487637
7440	2963350
7483	16532
7486	16785
7486	16785
7488	5258385
7488	5258385
7488	3687316
7488	4078741
7488	4472981
7488	3882134
7488	9113
7488	4728473
7488	10905
7488	4729497
7577	14229
7577	14230
7579	17300
7579	15509
7579	16533
7579	15510
7584	2965652
7584	9881
7584	10905
7584	4729497
7617	9367
7652	14228
7656	15508
7675	16532
7678	15505
7678	15505
7680	5260177
7680	5260177
7680	3682452
7680	4990103
7680	4727705
7680	10905
7680	4729497
7776	3487636
7776	3158934
7776	10905
7776	4729497
7822	17297
7822	17297
7824	5259665
7824	5259665
7870	16785
7870	16785
7872	5260177
7872	5260177
7872	3488916
7872	3487638
7872	9113
7872	4728473
7872	10905
7872	4729497
7955	12436
7960	13206
7968	3686292
7968	3488918
7968	9881
7968	10905
7968	4729497
8001	9367
8014	17297
8014	17297
8016	5259665
8016	5259665
8056	14230
8059	16276
8062	16785
8062	16785
8064	5260177
8064	5260177
8064	3687316
8064	3162006
8064	4727959
8064	10905
8064	4729497
8152	15510
8155	17300
8158	17297
8158	17297
8160	5260689
8160	5260689
8160	2572180
8160	4727705
8160	10905
8160	4729497
8208	3487637
8248	16278
8251	16276
8254	17809
8254	5261457
8254	17809
8254	5261457
8256	3687316
8256	4078741
8256	4472725
8256	9113
8256	4728473
8256	10905
8256	4729497
8339	9367
8345	14229
8347	17300
8347	15509
8347	16277
8350	5260689
8350	18577
8350	5260689
8350	18577
8352	2965396
8352	4074391
8352	9881
8352	10905
8352	4729497
8398	17809
8398	17809
8400	5260177
8400	5260177
8420	14228
8424	15508
8443	16276
8443	11159
8446	17297
8446	17297
8448	5260177
8448	5260177
8448	3685012
8448	4730519
8448	4727705
8448	10905
8448	4729497
8544	3490196
8544	3161750
8544	10905
8544	4729497
8588	17297
8588	17297
8590	5260689
8590	5260689
8638	17809
8638	17809
8640	5260177
8640	5260177
8640	3491220
8640	2965910
8640	9113
8640	4728473
8640	10905
8640	4729497
8723	14996
8728	16022
8734	17297
8734	17297
8736	5259665
8736	5259665
8736	3689108
8736	4081046
8736	9881
8736	10905
8736	4729497
8769	11927
8780	16785
8780	16785
8784	5260177
8784	5260177
8824	16790
8827	19092
8828	17297
8828	17297
8832	5260177
8832	5260177
8832	3689876
8832	3492502
8832	4730519
8832	10905
8832	4729497
8920	17814
8923	19860
8928	2574996
8928	4727705
8928	10905
8928	4729497
8976	3490197
9016	19094
9019	19092
9024	3689876
9024	4081045
9024	4475541
9024	9113
9024	4728473
9024	10905
9024	4729497
9113	16789
9115	19860
9115	17813
9115	19093
9120	2968212
9120	9881
9120	10905
9120	4729497
9188	16788
9192	17812
9200	11927
9211	19092
9214	17297
9214	17297
9216	5260177
9216	5260177
9216	3684244
9216	4467607
9216	4727705
9216	10905
9216	4729497
9312	3489428
9312	3357334
9312	10905
9312	4729497
9358	17297
9358	17297
9360	5259665
9360	5259665
9406	16785
9406	5260177
9406	16785
9406	5260177
9408	3490196
9408	3358358
9408	9113
9408	4728473
9408	10905
9408	4729497
9491	14228
9496	14998
