73118750	1	1	84	0	1
73125000	1	3	70	60	1
73125000	1	3	62	60	1
73125000	1	3	65	60	1
73125000	1	1	86	80	1
73306250	1	1	86	0	1
73306250	1	1	84	80	1
73500000	1	3	62	0	1
73500000	1	3	65	0	1
73500000	1	3	70	0	1
73500000	1	3	52	60	1
73500000	1	3	55	60	1
73500000	1	3	60	60	1
73868750	1	1	84	0	1
73875000	1	1	86	80	1
74056250	1	1	86	0	1
74062500	1	1	84	80	1
74612500	1	1	84	0	1
74625000	1	3	52	0	1
74625000	1	3	55	0	1
74625000	1	3	60	0	1
74625000	1	1	79	80	1
74800000	1	1	79	0	1
74812500	1	1	81	80	1
75000000	1	3	69	60	1
75000000	1	3	60	60	1
75000000	1	3	64	60	1
75368750	1	1	81	0	1
75375000	1	1	86	80	1
75556250	1	1	86	0	1
75562500	1	1	84	80	1
75750000	1	3	60	0	1
75750000	1	3	64	0	1
75750000	1	3	69	0	1
76118750	1	1	84	0	1
76125000	1	3	69	60	1
76125000	1	3	60	60	1
76125000	1	3	64	60	1
76125000	1	1	86	80	1
76306250	1	1	86	0	1
76312500	1	1	84	80	1
76500000	1	3	60	0	1
76500000	1	3	64	0	1
76500000	1	3	69	0	1
76500000	1	3	53	60	1
76500000	1	3	57	60	1
76500000	1	3	62	60	1
76868750	1	1	84	0	1
76868750	1	1	86	80	1
77056250	1	1	86	0	1
77056250	1	1	84	80	1
77618750	1	1	84	0	1
77625000	1	3	53	0	1
77625000	1	3	57	0	1
77625000	1	3	62	0	1
77625000	1	1	79	80	1
77806250	1	1	79	0	1
77812500	1	1	81	80	1
77993750	1	1	81	0	1
78000000	1	3	70	60	1
78000000	1	3	62	60	1
78000000	1	3	65	60	1
78000000	1	1	79	80	1
78362500	1	1	79	0	1
78375000	1	1	77	80	1
78556250	1	1	77	0	1
78562500	1	1	74	80	1
78750000	1	3	62	0	1
78750000	1	3	65	0	1
78937500	1	3	70	0	1
79118750	1	1	74	0	1
79125000	1	3	70	60	1
79125000	1	3	62	60	1
79125000	1	3	65	60	1
79125000	1	1	77	80	1
79306250	1	1	77	0	1
79312500	1	1	77	80	1
79493750	1	1	77	0	1
79500000	1	3	62	0	1
79500000	1	3	65	0	1
79500000	1	3	70	0	1
79500000	1	3	52	60	1
79500000	1	3	55	60	1
79500000	1	3	60	60	1
79500000	1	1	79	80	1
79681250	1	1	79	0	1
79687500	1	1	77	80	1
79868750	1	1	77	0	1
79875000	1	1	74	80	1
80431250	1	1	74	0	1
80431250	1	1	77	80	1
80625000	1	3	55	0	1
80625000	1	3	52	0	1
80625000	1	3	60	0	1
80993750	1	1	77	0	1
81000000	1	3	65	61	1
81000000	1	3	57	61	1
81000000	1	3	60	61	1
81000000	1	1	81	80	1
81750000	1	3	60	0	1
81750000	1	3	57	0	1
81925000	1	1	81	0	1
81937500	1	3	65	0	1
81937500	1	1	82	80	1
82118750	1	1	82	0	1
82125000	1	3	65	62	1
82125000	1	3	57	62	1
82125000	1	3	60	62	1
82125000	1	1	81	80	1
82306250	1	1	81	0	1
82312500	1	1	79	80	1
82493750	1	1	79	0	1
82500000	1	3	57	0	1
82500000	1	3	60	0	1
82500000	1	3	65	0	1
82500000	1	3	61	62	1
82500000	1	3	64	62	1
82500000	1	3	69	62	1
82500000	1	1	81	80	1
82681250	1	1	81	0	1
82687500	1	1	79	80	1
83243750	1	1	79	0	1
83250000	1	1	77	80	1
83618750	1	1	77	0	1
83625000	1	3	61	0	1
83625000	1	3	64	0	1
83625000	1	3	69	0	1
83625000	1	1	79	80	1
83993750	1	1	79	0	1
83993750	1	1	81	80	1
84000000	1	3	62	60	1
84000000	1	3	65	60	1
84000000	1	3	70	60	1
84368750	1	1	81	0	1
84375000	1	1	86	80	1
84556250	1	1	86	0	1
84562500	1	1	84	80	1
84750000	1	3	65	0	1
84750000	1	3	62	0	1
84750000	1	3	70	0	1
85118750	1	1	84	0	1
85125000	1	3	70	60	1
85125000	1	3	62	60	1
85125000	1	3	65	60	1
85125000	1	1	86	80	1
85300000	1	1	86	0	1
85312500	1	1	84	80	1
85500000	1	3	62	0	1
85500000	1	3	65	0	1
85500000	1	3	70	0	1
85500000	1	3	52	60	1
85500000	1	3	55	60	1
85500000	1	3	60	60	1
85868750	1	1	84	0	1
85875000	1	1	86	80	1
86056250	1	1	86	0	1
86062500	1	1	84	80	1
86618750	1	1	84	0	1
86625000	1	3	52	0	1
86625000	1	3	55	0	1
86625000	1	3	60	0	1
86625000	1	1	81	80	1
86993750	1	1	81	0	1
87000000	1	3	69	60	1
87000000	1	3	60	60	1
87000000	1	3	64	60	1
87000000	1	1	81	80	1
87368750	1	1	81	0	1
87375000	1	1	86	80	1
87556250	1	1	86	0	1
87556250	1	1	84	80	1
87750000	1	3	60	0	1
87750000	1	3	64	0	1
87750000	1	3	69	0	1
88118750	1	1	84	0	1
88125000	1	3	69	60	1
88125000	1	3	60	60	1
88125000	1	3	64	60	1
88125000	1	1	86	80	1
88306250	1	1	86	0	1
88312500	1	1	84	80	1
88500000	1	3	60	0	1
88500000	1	3	64	0	1
88500000	1	3	69	0	1
88500000	1	3	53	60	1
88500000	1	3	57	60	1
88500000	1	3	62	60	1
88862500	1	1	84	0	1
88875000	1	1	86	80	1
89050000	1	1	86	0	1
89062500	1	1	84	80	1
89431250	1	1	84	0	1
89437500	1	1	81	80	1
89625000	1	3	53	0	1
89625000	1	3	57	0	1
89625000	1	3	62	0	1
89993750	1	1	81	0	1
90000000	1	3	70	60	1
90000000	1	3	62	60	1
90000000	1	3	65	60	1
90000000	1	1	79	80	1
90368750	1	1	79	0	1
90375000	1	1	77	80	1
90556250	1	1	77	0	1
90562500	1	1	74	80	1
90750000	1	3	62	0	1
90750000	1	3	65	0	1
90931250	1	1	74	0	1
90937500	1	3	70	0	1
90937500	1	1	81	80	1
91125000	1	3	70	60	1
91125000	1	3	62	60	1
91125000	1	3	65	60	1
91493750	1	1	81	0	1
91493750	1	1	79	80	1
91500000	1	3	62	0	1
91500000	1	3	65	0	1
91500000	1	3	70	0	1
91500000	1	3	52	60	1
91500000	1	3	55	60	1
91500000	1	3	60	60	1
91681250	1	1	79	0	1
91687500	1	1	77	80	1
91868750	1	1	77	0	1
91875000	1	1	74	80	1
92425000	1	1	74	0	1
92437500	1	1	77	80	1
92625000	1	3	55	0	1
92625000	1	3	52	0	1
92625000	1	3	60	0	1
92993750	1	1	77	0	1
93000000	1	3	62	61	1
93000000	1	3	53	61	1
93000000	1	3	57	61	1
93000000	1	1	77	80	1
93750000	1	3	57	0	1
93750000	1	3	53	0	1
93937500	1	3	62	0	1
94125000	1	3	62	62	1
94125000	1	3	53	62	1
94125000	1	3	57	62	1
94493750	1	1	77	0	1
95250000	1	1	74	80	1
95431250	1	1	74	0	1
95437500	1	1	81	80	1
95625000	1	3	53	0	1
95625000	1	3	57	0	1
95625000	1	3	62	0	1
